title,thumbnail,tags,rating,reviews_count,mrp,price,discount,release_date
Forza Horizon 5,https://cdn.cloudflare.steamstatic.com/steam/apps/1551360/header.jpg,"['Racing', 'Open World', 'Driving', 'Multiplayer', 'Automobile Sim', 'Adventure', 'Realistic', 'Simulation', 'Exploration', 'Arcade', 'First-Person', 'Atmospheric', 'Sports', 'Co-op', 'PvP', 'Online Co-Op', 'Singleplayer', 'Beautiful', 'Action', 'Third Person']",Very Positive,111857,3499.0,1749.0,50,"Nov 9, 2021"
Marvel’s Spider-Man Remastered,https://cdn.cloudflare.steamstatic.com/steam/apps/1817070/header.jpg,"['Superhero', 'Open World', 'Action', 'Singleplayer', 'Adventure', 'Story Rich', 'Combat', 'Action-Adventure', 'Third Person', 'Parkour', 'Comic Book', 'Exploration', 'Beautiful', 'Casual', 'Great Soundtrack', 'Stealth', 'Funny', 'Atmospheric', 'Sci-fi', 'Multiplayer']",Overwhelmingly Positive,46722,3999.0,2679.0,33,"Aug 12, 2022"
Marvel’s Spider-Man: Miles Morales,https://cdn.cloudflare.steamstatic.com/steam/apps/1817190/header.jpg,"['Action', 'Open World', 'Superhero', 'Adventure', 'Singleplayer', 'Third Person', 'Exploration', 'Combat', 'Parkour', 'Story Rich', 'Action-Adventure', 'Comic Book', 'Stealth', ""Beat 'em up"", 'Beautiful', 'Mature', 'Multiplayer', 'Great Soundtrack', 'RPG', 'Sci-fi']",Very Positive,12375,3299.0,2210.0,33,"Nov 18, 2022"
DREDGE,https://cdn.cloudflare.steamstatic.com/steam/apps/1562430/header.jpg,"['Exploration', 'Fishing', 'Lovecraftian', 'Adventure', 'Mystery', 'Open World', 'RPG', 'Inventory Management', 'Simulation', 'Atmospheric', 'Psychological Horror', 'Stylized', 'Survival Horror', 'Singleplayer', 'Horror', 'Psychological', '3D', 'Story Rich', 'Sailing', 'Action RPG']",Overwhelmingly Positive,11902,1999.0,1599.0,20,"Mar 30, 2023"
Planet Zoo,https://cdn.cloudflare.steamstatic.com/steam/apps/703080/header_alt_assets_1.jpg,"['Management', 'Simulation', 'Building', 'Sandbox', 'Nature', 'City Builder', 'Economy', 'Realistic', 'Singleplayer', 'Family Friendly', 'Cute', 'Resource Management', 'Strategy', 'Great Soundtrack', 'Relaxing', 'Multiplayer', 'Open World', 'Casual', 'Funny', 'Horses']",Very Positive,57970,2149.0,537.0,75,"Nov 5, 2019"
Call of Duty®: Black Ops III,https://cdn.cloudflare.steamstatic.com/steam/apps/311210/header.jpg,"['Multiplayer', 'FPS', 'Zombies', 'Shooter', 'Action', 'First-Person', 'Singleplayer', 'Co-op', 'Futuristic', 'Illuminati', 'Hero Shooter', 'Robots', 'Sci-fi', 'Gore', 'Great Soundtrack', 'Story Rich', 'Atmospheric', 'Parkour', 'Quick-Time Events', 'Simulation']",Very Positive,102457,3999.0,1319.0,67,"Nov 6, 2015"
Deep Rock Galactic,https://cdn.cloudflare.steamstatic.com/steam/apps/548430/header_alt_assets_13.jpg,"['Co-op', 'PvE', 'FPS', 'Exploration', 'Procedural Generation', 'Shooter', 'Loot', 'Class-Based', 'First-Person', 'Sci-fi', 'Looter Shooter', 'Action', 'Space', 'Atmospheric', 'Combat', 'Horror', 'Survival', 'Action Roguelike', 'Dark', 'Open World']",Overwhelmingly Positive,171368,699.0,230.0,67,"May 13, 2020"
Shadow of the Tomb Raider: Definitive Edition,https://cdn.cloudflare.steamstatic.com/steam/apps/750920/header.jpg,"['Adventure', 'Action', 'Female Protagonist', 'Singleplayer', 'Open World', 'Third Person', 'Story Rich', 'Puzzle', 'Stealth', 'Action-Adventure', 'Exploration', 'Survival', 'Violent', 'Atmospheric', 'Shooter', 'Gore', 'Great Soundtrack', 'Dark', 'Multiplayer', 'Heist']",Very Positive,51382,4987.0,547.0,89,"Sep 14, 2018"
NEEDY STREAMER OVERLOAD,https://cdn.cloudflare.steamstatic.com/steam/apps/1451940/header.jpg,"['Psychological Horror', 'Sexual Content', 'Visual Novel', 'Anime', 'Cute', 'Pixel Graphics', 'Point & Click', '2D', 'Multiple Endings', 'Psychological', 'Choose Your Own Adventure', 'Psychedelic', 'Dark Humor', 'Colorful', 'Story Rich', 'Adventure', 'Singleplayer', 'Text-Based', 'Conversation', 'Simulation']",Overwhelmingly Positive,22464,479.0,239.0,50,"Jan 21, 2022"
Don't Starve Together,https://cdn.cloudflare.steamstatic.com/steam/apps/322330/header_alt_assets_38.jpg,"['Survival', 'Open World Survival Craft', 'Multiplayer', 'Co-op', 'Open World', 'Adventure', 'Crafting', 'Online Co-Op', 'Sandbox', 'Difficult', 'Indie', '2D', 'Atmospheric', 'Funny', 'Survival Horror', 'Strategy', 'Horror', 'Singleplayer', 'Action', 'Roguelike']",Overwhelmingly Positive,270161,459.0,156.0,66,"Apr 21, 2016"
House Flipper,https://cdn.cloudflare.steamstatic.com/steam/apps/613100/header.jpg,"['Simulation', 'Design & Illustration', 'Building', 'Singleplayer', 'Relaxing', 'Sandbox', 'Casual', 'Immersive Sim', 'Education', 'Management', 'Economy', 'Family Friendly', 'First-Person', 'Replay Value', 'Base Building', '3D', 'Realistic', 'Indie', 'Moddable', 'Destruction']",Very Positive,66928,1100.0,330.0,70,"May 17, 2018"
Call of Duty®: Modern Warfare®,https://cdn.cloudflare.steamstatic.com/steam/apps/2000950/header.jpg,"['Action', 'Shooter', 'FPS', 'First-Person', 'Multiplayer', 'Singleplayer', 'Military', 'Tactical', 'Modern', 'Gun Customization', 'Story Rich', 'PvP', 'Violent', 'Gore', 'Co-op', 'Online Co-Op', 'Battle Royale', 'Sexual Content']",Mostly Positive,3112,3999.0,1319.0,67,"Mar 8, 2023"
