title,thumbnail,tags,release_date,review_score,reviewed_by,price_currency,sale_price,original_price,discount_pct
The Elder Scrolls® Online,https://cdn.akamai.steamstatic.com/steam/apps/306130/header.jpg?t=1689258769,"['RPG', 'MMORPG', 'Open World', 'Adventure', 'Fantasy']",2017-05-23,Very Positive,113233,₹479.00,479.0,1.0,-47800.0
Sengoku Dynasty,https://cdn.akamai.steamstatic.com/steam/apps/1702010/header_alt_assets_0.jpg?t=1691847511,"['Adventure', 'Simulation', 'Life Sim', 'RPG', 'Exploration']",2023-08-10,Mixed,768,"₹1,105.00",1.0,1.0,0.0
EA SPORTS™ FIFA 23,https://cdn.akamai.steamstatic.com/steam/apps/1811260/header.jpg?t=1691622242,"['Football (Soccer)', 'Sports', 'Controller', 'eSports', 'PvP']",2022-09-29,Mixed,108561,₹874.00,874.0,3.0,-29033.333
The Elder Scrolls V: Skyrim Special Edition,https://cdn.akamai.steamstatic.com/steam/apps/489830/header.jpg?t=1650909796,"['Open World', 'RPG', 'Adventure', 'Singleplayer', 'Fantasy']",2016-10-28,Very Positive,136069,₹449.00,449.0,1.0,-44800.0
DOOM Eternal,https://cdn.akamai.steamstatic.com/steam/apps/782330/header.jpg?t=1691683216,"['Action', 'FPS', 'Great Soundtrack', 'Gore', 'Fast-Paced']",2020-03-20,Very Positive,151782,₹449.00,449.0,1.0,-44800.0
World War Z,https://cdn.akamai.steamstatic.com/steam/apps/699130/header.jpg?t=1691669870,"['Zombies', 'Multiplayer', 'Online Co-Op', 'Action', 'Co-op']",2021-09-21,Very Positive,11211,₹449.00,449.0,899.0,50.056
Jurassic World Evolution 2,https://cdn.akamai.steamstatic.com/steam/apps/1244460/header_alt_assets_0.jpg?t=1691666733,"['Dinosaurs', 'Building', 'Simulation', 'Management', 'Sandbox']",2021-11-09,Very Positive,17332,₹612.00,612.0,2.0,-30500.0
Fallout 4,https://cdn.akamai.steamstatic.com/steam/apps/377160/header.jpg?t=1650909928,"['Open World', 'Post-apocalyptic', 'Singleplayer', 'Exploration', 'RPG']",2015-11-10,Very Positive,203010,₹329.00,329.0,999.0,67.067
Deep Rock Galactic,https://cdn.akamai.steamstatic.com/steam/apps/548430/header_alt_assets_15.jpg?t=1691058359,"['Co-op', 'PvE', 'FPS', 'Exploration', 'Procedural Generation']",2020-05-13,Overwhelmingly Positive,183132,₹230.00,230.0,699.0,67.096
Stray,https://cdn.akamai.steamstatic.com/steam/apps/1332010/header.jpg?t=1691683094,"['Cats', 'Adventure', 'Cyberpunk', 'Atmospheric', 'Singleplayer']",2022-07-19,Overwhelmingly Positive,109898,₹749.00,749.0,999.0,25.025
Fallout 76,https://cdn.akamai.steamstatic.com/steam/apps/1151340/header.jpg?t=1687281091,"['Dark Comedy', 'Open World', 'RPG', 'Multiplayer', 'Post-apocalyptic']",2020-04-14,Mostly Positive,45714,₹624.00,624.0,2.0,-31100.0
The Long Dark,https://cdn.akamai.steamstatic.com/steam/apps/305620/header.jpg?t=1691688878,"['Survival', 'Open World Survival Craft', 'Open World', 'Exploration', 'Atmospheric']",2017-08-01,Very Positive,86158,₹379.00,379.0,759.0,50.066
